description;duration_in_minutes;id;location_name;name;price
Includes a facial beard trim with trimmers (no straight razor);15;10732668;Cee True Beauty;Beard Trim;10.0
Beard trim with clippers to shape and clean up with a precision line up with clippers. You can add on a precision line up done with a razor.  10.00;15;7960026;Fox and Hare Salon;Beard Trim with other service;10.0
Traditional Barbers Haircut includes cut, style, hot lather straight razor around the ears and on the back of the neck with a hot towel and a quick shoulder massage.;0;9379204;Step Up Barber Shop [Jefferson St];Traditional Barber Haircut;0.0
Only full beards will be dyed in your chosen color.;45;13613411;Under The Radar Barber Studio LLC;Beard Coloring;35.0
Bear Trim/Shaping w/ Line up;15;10600535;Duba The Cutta;Beard Trim;25.0
Slick up your face with our smooth, hot lather face shave.;30;4183746;Diesel Barbershop at Village at Riverstone;Face Shave;45.0
Classic Shave  Straight Razor;40;4201456;ACADIA PENTAGON CITY;Classic Shave  Straight Razor;50.0
Beard trim booked alone.;30;4185493;HOU - Sugar Land;Beard Trim - A La Carte;30.0
Get a sharp, clean edge up with precise beard shaping. Enjoy hot towels and a straight razor finish around the beard for a flawless look. We feature our Tune Up Modern Man Shave Lotion for a smooth shave, followed by a refreshing aftershave to complete the experience.;20;4185700;Carlsbad;Barber Edge Up;25.0
This single beard trim provides a fresh clean facial appearance. This service is for extended beards as well as a shorter trim. Detailed shaping, trimming, shaving and a razor finish. Hot towel upon servicing. This is a standalone service.;15;10102480;Juice Fades;Beard Sculpting;15.0
Get a sharp, clean edge up with precise beard shaping. Enjoy hot towels and a straight razor finish around the beard for a flawless look. We feature our Tune Up Modern Man Shave Lotion for a smooth shave, followed by a refreshing aftershave to complete the experience.;20;4186456;Missouri City - Sienna Crossing;Barber Edge Up;20.0
Enjoy hot towels and a straight razor finish around the your facial hair for a flawless look. We feature our Tune Up Modern Man Shave Lotion for a smooth shave, followed by a refreshing aftershave to complete the experience.;25;4186556;Pearland;Barber Partial Shave;35.0
"This is our straight Razor beard service that includes:

Beard shaping and Lining
2 Hot Towels
Pre shave oil
Shave
Aftershave
1 Cold Towel";30;9507140;Amanda Cromer;Straight Razor Beard Trim;35.0
Traditional Barber's Haircut includes cut, style, hot lather straight razor around the ears and on the back of the neck with a hot towel and a quick shoulder massage. ;30;7373248;Wylde Salon;Traditional Barber Haircut;40.0
Detailed beard to your prefrence, along with grooming product;30;9755949;Studio J;Beard Trim;20.0
Beard Trim;20;4201454;ACADIA PENTAGON CITY;Beard Trim;30.0
This experience incorporates warm foam, straight razor shave, hot and cold essential-oil infused towels, and a cooling aftershave massage to make you look as smooth as you feel.;30;4203512;Cypress - Houston;Classic Face Shave;45.0
Buzz Cut with Beard Trim Woth Hot towel & Lather;30;10149872;Hammer & Co. Barbershop Davenport;All Over Buzz Cut & Beard;40.0
Beard trim with clippers and a straight razor edge.     Short beards 10. Long beards 15.;20;10151328;Cristiano @ Sapias Barbershop;Beard Trim;15.0
Includes straight razor. Front and sides;15;10160568;Calidad The Barber;Edge;12.0
This service is for all lineups and beard trims. Includes eyebrow sculpting and enhancements.;30;10181641;Hines Studio;All lineups;20.0
Let your beard be our bonsai. In all seriousness though, we can reshape/trim your beard with ease and let it continue to grow in all of it's glory.;15;5535271;R&C Salon;Beard Trim;18.0
Clean Up Cheek, Sideburn, and Neck Lines With Straight Razor. Fading Not Included;30;10251801;CutzByShorty;Beard Line Up;15.0
Prepared in the classical style with steamed towels, dollops of hot lather, and a pinch of cooling aftershave balm. Completed with a rejuvenating cool peppermint towel and face massage.;30;8750370;Ginos Classic Barbers - Perimeter;05. The Classic Straight Razor Shave;45.0
Beard and mustache detail, no haicut.;15;4815772;The Skin & Hair Care Lounge Salon + Spa;Beard Trim;17.0
Clipper beard/mustache outline and trim.;30;10302696;Rhonnie's Hairport;Beard trim w/clipper;15.0
Trimmed and straight razor lined goatee.;25;13604543;Upstyles Fade Waves And Shaves Barbershop LLC;Goatee;15.0
Shaved head using straight razor and hot towel. Trimming and shaping of beard using straight razor and hot towel. Beard wax to finish;60;12981066;Jess Cuts;Bald and beard;40.0
A faded beard and lineup!;15;9971322;Matt The Barber;Beard trim;15.0
Add a little color to problem spots like patches, or change your grey and white beard hairs with color enhancement. For a temporary hair color change and a more full look.;25;10380472;Joe Vinci Mobile Barber;Beard coloring;25.0
Beard trim w lineup and razor finish;20;10456070;Champ fades;Beard trim /w lining;30.0
Beard trim cut to the length of your specifications and lined out;15;10504497;Jessica Morales;beardtrim;30.0
Enjoy a luxurious full-face straight razor shave! Relax with hot towels, followed by a close, smooth shave featuring our Tune Up Modern Man Shave Lotion. Complete the experience with a refreshing aftershave and cold towel for the ultimate grooming finish.;45;10591561;281 & Stone Oak;Barber Full Face Shave;50.0
